location_id,casualties,fatalities,year,position_id,day_bool,crashtype_id,dui_bool,drugs_bool
ELIZABETH VALE,1,0,2016,T-Junction,FALSE,Hit Fixed Object,TRUE,FALSE
WOODVILLE WEST,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,TRUE
MENINGIE,1,0,2016,T-Junction,FALSE,Rear End,FALSE,FALSE
PLYMPTON,1,0,2016,Not Divided,FALSE,Right Angle,FALSE,FALSE
LOCKLEYS,2,0,2016,T-Junction,TRUE,Right Turn,FALSE,FALSE
BERRI,2,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
GLYNDE,1,0,2016,Not Divided,TRUE,Hit Parked Vehicle,FALSE,FALSE
MAYLANDS,1,0,2016,Divided Road,TRUE,Hit Parked Vehicle,FALSE,FALSE
ROSTREVOR,2,0,2016,Not Divided,TRUE,Hit Pedestrian,FALSE,FALSE
KLEMZIG,1,0,2016,Divided Road,TRUE,Rear End,FALSE,FALSE
ANGAS PLAINS,1,0,2016,Cross Road,TRUE,Hit Fixed Object,FALSE,FALSE
KENSINGTON PARK,1,0,2016,Cross Road,FALSE,Right Turn,FALSE,FALSE
PORT ADELAIDE,1,0,2016,Not Divided,TRUE,Left Road - Out of Control,FALSE,FALSE
NORWOOD,1,0,2016,Not Divided,TRUE,Hit Fixed Object,TRUE,FALSE
MOORAK,1,0,2016,Not Divided,FALSE,Roll Over,FALSE,FALSE
PARACOMBE,1,0,2016,Not Divided,TRUE,Other,FALSE,FALSE
ADELAIDE,1,0,2016,Cross Road,FALSE,Hit Pedestrian,FALSE,FALSE
JUPITER CREEK,1,0,2016,Not Divided,TRUE,Hit Fixed Object,TRUE,FALSE
CRAFERS,1,0,2016,Not Divided,TRUE,Hit Object on Road,FALSE,FALSE
WASLEYS,1,0,2016,Not Divided,FALSE,Hit Fixed Object,FALSE,FALSE
PLYMPTON,1,0,2016,Cross Road,TRUE,Side Swipe,FALSE,FALSE
SEACOMBE HEIGHTS,1,0,2016,T-Junction,TRUE,Right Angle,FALSE,FALSE
HART,1,0,2016,Not Divided,TRUE,Hit Fixed Object,FALSE,FALSE
O'HALLORAN HILL,1,0,2016,Divided Road,TRUE,Hit Fixed Object,FALSE,FALSE
WINDSOR GARDENS,1,0,2016,T-Junction,FALSE,Hit Fixed Object,TRUE,TRUE
PORT LINCOLN,1,0,2016,T-Junction,FALSE,Hit Fixed Object,FALSE,FALSE
